Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HY,AY,HR,AR,season_code,kickoff_local,besiktas_goals,opponent_goals,total_goals,kickoff_hour,time,temperature_2m,precipitation,rain,wind_speed_10m,rainy_match,heavy_rain_match
2020-07-19,19:00,Besiktas,Fenerbahce,2.0,0.0,H,13.0,17.0,7.0,5.0,18.0,19.0,3.0,5.0,0.0,1.0,1920,2020-07-19 19:00:00,2.0,0.0,2.0,2020-07-19 19:00:00,2020-07-19 19:00:00,24.9,0.0,0.0,17.4,0,0
2020-09-19,17:00,Besiktas,Antalyaspor,1.0,1.0,D,12.0,8.0,3.0,4.0,18.0,26.0,5.0,4.0,0.0,0.0,2021,2020-09-19 17:00:00,1.0,1.0,2.0,2020-09-19 17:00:00,2020-09-19 17:00:00,21.8,0.0,0.0,28.4,0,0
2020-10-04,14:00,Besiktas,Genclerbirligi,0.0,1.0,A,13.0,10.0,4.0,4.0,9.0,12.0,2.0,2.0,0.0,0.0,2021,2020-10-04 14:00:00,0.0,1.0,1.0,2020-10-04 14:00:00,2020-10-04 14:00:00,26.9,0.0,0.0,8.2,0,0
2020-11-01,16:00,Besiktas,Yeni Malatyaspor,1.0,0.0,H,16.0,6.0,6.0,1.0,14.0,15.0,3.0,0.0,0.0,0.0,2021,2020-11-01 16:00:00,1.0,0.0,1.0,2020-11-01 16:00:00,2020-11-01 16:00:00,14.0,0.0,0.0,7.6,0,0
2020-11-21,16:00,Besiktas,Buyuksehyr,3.0,2.0,H,20.0,19.0,8.0,7.0,12.0,17.0,3.0,5.0,0.0,1.0,2021,2020-11-21 16:00:00,3.0,2.0,5.0,2020-11-21 16:00:00,2020-11-21 16:00:00,11.4,0.0,0.0,24.0,0,0
2020-12-04,16:30,Besiktas,Kasimpasa,3.0,0.0,H,17.0,6.0,5.0,2.0,14.0,11.0,1.0,0.0,0.0,1.0,2021,2020-12-04 16:30:00,3.0,0.0,3.0,2020-12-04 16:00:00,2020-12-04 16:00:00,15.9,0.0,0.0,9.7,0,0
2020-12-20,16:00,Besiktas,Erzurum BB,4.0,0.0,H,14.0,8.0,7.0,4.0,14.0,18.0,3.0,2.0,0.0,0.0,2021,2020-12-20 16:00:00,4.0,0.0,4.0,2020-12-20 16:00:00,2020-12-20 16:00:00,9.7,0.0,0.0,17.5,0,0
2020-12-28,16:00,Besiktas,Sivasspor,3.0,0.0,H,13.0,8.0,5.0,2.0,20.0,15.0,1.0,3.0,0.0,1.0,2021,2020-12-28 16:00:00,3.0,0.0,3.0,2020-12-28 16:00:00,2020-12-28 16:00:00,13.1,0.0,0.0,15.6,0,0
2021-01-06,16:00,Besiktas,Rizespor,6.0,0.0,H,17.0,9.0,10.0,3.0,15.0,11.0,2.0,0.0,0.0,0.0,2021,2021-01-06 16:00:00,6.0,0.0,6.0,2021-01-06 16:00:00,2021-01-06 16:00:00,13.4,0.0,0.0,10.0,0,0
2021-01-17,16:00,Besiktas,Galatasaray,2.0,0.0,H,14.0,9.0,3.0,2.0,12.0,16.0,2.0,2.0,0.0,1.0,2021,2021-01-17 16:00:00,2.0,0.0,2.0,2021-01-17 16:00:00,2021-01-17 16:00:00,-0.7,0.2,0.0,31.8,1,0
2021-01-24,16:00,Besiktas,Goztep,2.0,1.0,H,10.0,5.0,5.0,3.0,15.0,17.0,2.0,3.0,0.0,0.0,2021,2021-01-24 16:00:00,2.0,1.0,3.0,2021-01-24 16:00:00,2021-01-24 16:00:00,13.1,0.0,0.0,28.4,0,0
